count_all,mentions_china,full_name,gender,party,type,birthday,state,district,generation
123,0,Markwayne Mullin,M,Republican,rep,1977-07-26,OK,2.0,Gen X
69,0,David B. McKinley,M,Republican,rep,1947-03-28,WV,1.0,Boomers
150,0,Debbie Dingell,F,Democrat,rep,1953-11-23,MI,12.0,Boomers
148,0,Deb Fischer,F,Republican,sen,1951-03-01,NE,,Boomers
118,0,David Schweikert,M,Republican,rep,1962-03-03,AZ,6.0,Boomers
50,0,David Rouzer,M,Republican,rep,1972-02-16,NC,7.0,Gen X
25,0,David N. Cicilline,M,Democrat,rep,1961-07-15,RI,1.0,Boomers
179,0,David Loebsack,M,Democrat,rep,1952-12-23,IA,2.0,Boomers
195,0,David Kustoff,M,Republican,rep,1966-10-08,TN,8.0,Gen X
103,0,David J. Trone,M,Democrat,rep,1955-09-21,MD,6.0,Boomers
93,0,David E. Price,M,Democrat,rep,1940-08-17,NC,4.0,Silent
132,0,Daniel T. Kildee,M,Democrat,rep,1958-08-11,MI,5.0,Boomers
50,0,"F. James Sensenbrenner, Jr.",M,Republican,rep,1943-06-14,WI,5.0,Silent
93,0,Dan Newhouse,M,Republican,rep,1955-07-10,WA,4.0,Boomers
159,0,Cory A. Booker,M,Democrat,sen,1969-04-27,NJ,,Gen X
196,0,Conor Lamb,M,Democrat,rep,1984-06-27,PA,17.0,Millennial
161,0,Colin Z. Allred,M,Democrat,rep,1983-04-15,TX,32.0,Millennial
178,0,Cindy Hyde-Smith,F,Republican,sen,1959-05-10,MS,,Boomers
200,0,Christopher Murphy,M,Democrat,sen,1973-08-03,CT,,Gen X
133,0,Chrissy Houlahan,F,Democrat,rep,1967-06-05,PA,6.0,Gen X
152,0,Chris Pappas,M,Democrat,rep,1980-06-04,NH,1.0,Millennial
154,0,Cheri Bustos,F,Democrat,rep,1961-10-17,IL,17.0,Boomers
144,0,Debbie Mucarsel-Powell,F,Democrat,rep,1971-01-18,FL,26.0,Gen X
138,0,Debbie Stabenow,F,Democrat,sen,1950-04-29,MI,,Boomers
150,0,Debbie Wasserman Schultz,F,Democrat,rep,1966-09-27,FL,23.0,Gen X
87,0,Debra A. Haaland,F,Democrat,rep,1960-12-02,NM,1.0,Boomers
96,0,Eliot L. Engel,M,Democrat,rep,1947-02-18,NY,16.0,Boomers
143,0,Eleanor Holmes Norton,F,Democrat,rep,1937-06-13,DC,0.0,Silent
172,0,Elaine G. Luria,F,Democrat,rep,1975-08-15,VA,2.0,Gen X
139,0,Eddie Bernice Johnson,F,Democrat,rep,1935-12-03,TX,30.0,Silent
116,0,Ed Perlmutter,M,Democrat,rep,1953-05-01,CO,7.0,Boomers
91,0,Earl Blumenauer,M,Democrat,rep,1948-08-16,OR,3.0,Boomers
70,0,Dwight Evans,M,Democrat,rep,1954-05-16,PA,3.0,Boomers
138,0,Dusty Johnson,M,Republican,rep,1976-09-30,SD,0.0,Gen X
168,0,Doug Jones,M,Democrat,sen,1954-05-04,AL,,Boomers
149,0,Doris O. Matsui,F,Democrat,rep,1944-09-25,CA,6.0,Boomers
111,0,Donna E. Shalala,F,Democrat,rep,1941-02-14,FL,27.0,Silent
174,0,Donald Norcross,M,Democrat,rep,1958-12-13,NJ,1.0,Boomers
177,0,"Donald M. Payne, Jr.",M,Democrat,rep,1958-12-17,NJ,10.0,Boomers
94,0,Don Young,M,Republican,rep,1933-06-09,AK,0.0,
157,0,Dina Titus,F,Democrat,rep,1950-05-23,NV,1.0,Boomers
157,0,Dianne Feinstein,F,Democrat,sen,1933-06-22,CA,,Silent
172,0,Diana DeGette,F,Democrat,rep,1957-07-29,CO,1.0,Boomers
169,0,Derek Kilmer,M,Democrat,rep,1974-01-01,WA,6.0,Gen X
132,0,Denny Heck,M,Democrat,rep,1952-07-29,WA,10.0,Boomers
118,0,Chellie Pingree,F,Democrat,rep,1955-04-02,ME,1.0,Boomers
160,0,Charlie Crist,M,Democrat,rep,1956-07-24,FL,13.0,Boomers
59,0,Cedric L. Richmond,M,Democrat,rep,1973-09-13,LA,2.0,Gen X
166,0,Antonio Delgado,M,Democrat,rep,1977-01-19,NY,19.0,Gen X
174,0,Ann M. Kuster,F,Democrat,rep,1956-09-05,NH,2.0,Boomers
176,0,Ann Kirkpatrick,F,Democrat,rep,1950-03-24,AZ,2.0,Boomers
140,0,"Angus S. King, Jr.",M,Independent,sen,1944-03-31,ME,,Boomers
174,0,Angie Craig,F,Democrat,rep,1972-02-14,MN,2.0,Gen X
135,0,Andy Levin,M,Democrat,rep,1960-08-01,MI,9.0,Boomers
140,0,Andy Kim,M,Democrat,rep,1982-07-12,NJ,3.0,Millennial
153,0,Andy Harris,M,Republican,rep,1957-01-25,MD,1.0,Boomers
57,0,Andy Biggs,M,Republican,rep,1958-11-07,AZ,5.0,Boomers
170,0,Amy Klobuchar,F,Democrat,sen,1960-05-25,MN,,Boomers
103,0,Ami Bera,M,Democrat,rep,1965-03-02,CA,7.0,Gen X
113,0,Alma S. Adams,F,Democrat,rep,1946-05-27,NC,12.0,Boomers
136,0,Alexandria Ocasio-Cortez,F,Democrat,rep,1989-10-13,NY,14.0,Millennial
102,0,Albio Sires,M,Democrat,rep,1951-01-26,NJ,8.0,Boomers
165,0,Alan S. Lowenthal,M,Democrat,rep,1941-03-08,CA,47.0,Silent
140,0,"Al Lawson, Jr.",M,Democrat,rep,1948-09-23,FL,5.0,Boomers
146,0,Al Green,M,Democrat,rep,1947-09-01,TX,9.0,Boomers
146,0,Adriano Espaillat,M,Democrat,rep,1954-09-27,NY,13.0,Boomers
131,0,Adam Smith,M,Democrat,rep,1965-06-15,WA,9.0,Gen X
153,0,Abigail Davis Spanberger,F,Democrat,rep,1979-08-07,VA,7.0,Gen X
140,0,Anthony G. Brown,M,Democrat,rep,1961-11-21,MD,4.0,Boomers
189,0,Aumua Amata Coleman Radewagen,F,Republican,rep,1947-12-29,AS,0.0,Boomers
90,0,Catherine Cortez Masto,F,Democrat,sen,1964-03-29,NV,,Boomers
107,0,Ayanna Pressley,F,Democrat,rep,1974-02-03,MA,7.0,Gen X
111,0,Carolyn B. Maloney,F,Democrat,rep,1946-02-19,NY,12.0,Boomers
84,0,Bruce Westerman,M,Republican,rep,1967-11-18,AR,4.0,Gen X
151,0,Brian Schatz,M,Democrat,sen,1972-10-20,HI,,Gen X
159,0,Brian K. Fitzpatrick,M,Republican,rep,1973-12-17,PA,1.0,Gen X
148,0,Brian Higgins,M,Democrat,rep,1959-10-06,NY,26.0,Boomers
130,0,Brett Guthrie,M,Republican,rep,1964-02-18,KY,2.0,Boomers
130,0,Brendan F. Boyle,M,Democrat,rep,1977-02-06,PA,2.0,Gen X
113,0,Brenda L. Lawrence,F,Democrat,rep,1954-10-18,MI,14.0,Boomers
136,0,Bradley Scott Schneider,M,Democrat,rep,1961-08-20,IL,10.0,Boomers
97,0,Bradley Byrne,M,Republican,rep,1955-02-16,AL,1.0,Boomers
76,0,Bonnie Watson Coleman,F,Democrat,rep,1945-02-06,NJ,12.0,Boomers
92,0,Bobby L. Rush,M,Democrat,rep,1946-11-23,IL,1.0,Boomers
184,0,Bill Posey,M,Republican,rep,1947-12-18,FL,8.0,Boomers
100,0,Bill Foster,M,Democrat,rep,1955-10-07,IL,11.0,Boomers
152,0,Bill Cassidy,M,Republican,sen,1957-09-28,LA,,Boomers
113,0,Bennie G. Thompson,M,Democrat,rep,1948-01-28,MS,2.0,Boomers
114,0,Benjamin L. Cardin,M,Democrat,sen,1943-10-05,MD,,Silent
131,0,Ben Ray Luján,M,Democrat,rep,1972-06-07,NM,3.0,Gen X
194,0,Barbara Lee,F,Democrat,rep,1946-07-16,CA,13.0,Boomers
120,0,Emanuel Cleaver,M,Democrat,rep,1944-10-26,MO,5.0,Boomers
159,0,Filemon Vela,M,Democrat,rep,1963-02-13,TX,34.0,Boomers
195,0,Mark E. Amodei,M,Republican,rep,1958-06-12,NV,2.0,Boomers
146,0,Josh Harder,M,Democrat,rep,1986-08-01,CA,10.0,Millennial
121,0,Kathy Castor,F,Democrat,rep,1966-08-20,FL,14.0,Gen X
169,0,Kathleen M. Rice,F,Democrat,rep,1965-02-15,NY,4.0,Gen X
103,0,Katherine M. Clark,F,Democrat,rep,1963-07-17,MA,5.0,Boomers
125,0,Karen Bass,F,Democrat,rep,1953-10-03,CA,37.0,Boomers
179,0,Kamala D. Harris,F,Democrat,sen,1964-10-20,CA,,Boomers
103,0,Julia Brownley,F,Democrat,rep,1952-08-28,CA,26.0,Boomers
142,0,Juan Vargas,M,Democrat,rep,1961-03-07,CA,51.0,Boomers
154,0,Joyce Beatty,F,Democrat,rep,1950-03-12,OH,3.0,Boomers
132,0,José E. Serrano,M,Democrat,rep,1943-10-24,NY,15.0,Silent
109,0,Josh Gottheimer,M,Democrat,rep,1975-03-08,NJ,5.0,Gen X
182,0,Frederica S. Wilson,F,Democrat,rep,1942-11-05,FL,24.0,Silent
114,0,Joseph P. Kennedy III,M,Democrat,rep,1980-10-04,MA,4.0,Millennial
160,0,Joseph D. Morelle,M,Democrat,rep,1957-04-29,NY,25.0,Boomers
159,0,Jon Tester,M,Democrat,sen,1956-08-21,MT,,Boomers
133,0,John Shimkus,M,Republican,rep,1958-02-21,IL,15.0,Boomers
99,0,John Ratcliffe,M,Republican,rep,1965-10-20,TX,4.0,Gen X
127,0,John R. Moolenaar,M,Republican,rep,1961-05-08,MI,4.0,Boomers
152,0,John Lewis,M,Democrat,rep,1940-02-21,GA,5.0,Silent
132,0,John Katko,M,Republican,rep,1962-11-09,NY,24.0,Boomers
144,0,John Hoeven,M,Republican,sen,1957-03-13,ND,,Boomers
114,0,Katie Porter,F,Democrat,rep,1974-01-03,CA,45.0,Gen X
118,0,Kendra S. Horn,F,Democrat,rep,1976-06-09,OK,5.0,Gen X
111,0,Kim Schrier,F,Democrat,rep,1968-08-23,WA,8.0,Gen X
165,0,Kirsten E. Gillibrand,F,Democrat,sen,1966-12-09,NY,,Gen X
145,0,Mark DeSaulnier,M,Democrat,rep,1952-03-31,CA,11.0,Boomers
110,0,Maria Cantwell,F,Democrat,sen,1958-10-13,WA,,Boomers
177,0,Margaret Wood Hassan,F,Democrat,sen,1958-02-27,NH,,Boomers
176,0,Marc A. Veasey,M,Democrat,rep,1971-01-03,TX,33.0,Gen X
106,0,Madeleine Dean,F,Democrat,rep,1959-06-06,PA,4.0,Boomers
55,0,Mac Thornberry,M,Republican,rep,1958-07-15,TX,13.0,Boomers
151,0,Lucy McBath,F,Democrat,rep,1960-06-01,GA,6.0,Boomers
118,0,Lucille Roybal-Allard,F,Democrat,rep,1941-06-12,CA,40.0,Silent
130,0,Lori Trahan,F,Democrat,rep,1973-10-27,MA,3.0,Gen X
141,0,Lois Frankel,F,Democrat,rep,1948-05-16,FL,21.0,Boomers
146,0,Lloyd Smucker,M,Republican,rep,1964-01-23,PA,11.0,Boomers
157,0,Lizzie Fletcher,F,Democrat,rep,1975-02-13,TX,7.0,Gen X
104,0,Lisa Murkowski,F,Republican,sen,1957-05-22,AK,,Boomers
97,0,Lisa Blunt Rochester,F,Democrat,rep,1962-02-10,DE,0.0,Boomers
170,0,Lindsey Graham,M,Republican,sen,1955-07-09,SC,,Boomers
80,0,Linda T. Sánchez,F,Democrat,rep,1969-01-28,CA,38.0,Gen X
115,0,Lauren Underwood,F,Democrat,rep,1986-10-04,IL,14.0,Millennial
81,0,Lamar Alexander,M,Republican,sen,1940-07-03,TN,,Silent
184,0,Kyrsten Sinema,F,Democrat,sen,1976-07-12,AZ,,Gen X
87,0,John Garamendi,M,Democrat,rep,1945-01-24,CA,3.0,Boomers
135,0,John Boozman,M,Republican,sen,1950-12-10,AR,,Boomers
140,0,John B. Larson,M,Democrat,rep,1948-07-22,CT,1.0,Boomers
87,0,James A. Himes,M,Democrat,rep,1966-07-05,CT,4.0,Gen X
135,0,Jacky Rosen,F,Democrat,sen,1957-08-02,NV,,Boomers
107,0,Jackie Walorski,F,Republican,rep,1963-08-17,IN,2.0,Boomers
176,0,Jackie Speier,F,Democrat,rep,1950-05-14,CA,14.0,Boomers
149,0,J. Luis Correa,M,Democrat,rep,1958-01-24,CA,46.0,Boomers
154,0,Henry Cuellar,M,Democrat,rep,1955-09-19,TX,28.0,Boomers
158,0,"Henry C. ""Hank"" Johnson, Jr.",M,Democrat,rep,1954-10-02,GA,4.0,Boomers
99,0,Harold Rogers,M,Republican,rep,1937-12-31,KY,5.0,Silent
166,0,Haley M. Stevens,F,Democrat,rep,1983-06-24,MI,11.0,Millennial
151,0,H. Morgan Griffith,M,Republican,rep,1958-03-15,VA,9.0,Boomers
139,0,Gwen Moore,F,Democrat,rep,1951-04-18,WI,4.0,Boomers
73,0,Gregory W. Meeks,M,Democrat,rep,1953-09-25,NY,5.0,Boomers
110,0,Gregorio Kilili Camacho Sablan,M,Democrat,rep,1955-01-19,MP,0.0,Boomers
114,0,Greg Walden,M,Republican,rep,1957-01-10,OR,2.0,Boomers
75,0,Grace F. Napolitano,F,Democrat,rep,1936-12-04,CA,32.0,Silent
141,0,"Gilbert Ray Cisneros, Jr.",M,Democrat,rep,1971-02-12,CA,39.0,Gen X
122,0,Gerald E. Connolly,M,Democrat,rep,1950-03-30,VA,11.0,Boomers
146,0,Gary J. Palmer,M,Republican,rep,1954-05-14,AL,6.0,Boomers
142,0,Garret Graves,M,Republican,rep,1972-01-31,LA,6.0,Gen X
91,0,G. K. Butterfield,M,Democrat,rep,1947-04-27,NC,1.0,Boomers
161,0,Jahana Hayes,F,Democrat,rep,1973-03-08,CT,5.0,Gen X
111,0,James E. Clyburn,M,Democrat,rep,1940-07-21,SC,6.0,Silent
57,0,John A. Yarmuth,M,Democrat,rep,1947-11-04,KY,3.0,Boomers
161,0,James R. Baird,M,Republican,rep,1945-06-04,IN,4.0,Boomers
116,0,Joe Neguse,M,Democrat,rep,1984-05-13,CO,2.0,Millennial
163,0,"Joe Manchin, III",M,Democrat,sen,1947-08-24,WV,,Boomers
159,0,Joe Cunningham,M,Democrat,rep,1982-05-26,SC,1.0,Millennial
156,0,Joe Courtney,M,Democrat,rep,1953-04-06,CT,2.0,Boomers
28,0,Joaquin Castro,M,Democrat,rep,1974-09-16,TX,20.0,Gen X
123,0,Jimmy Panetta,M,Democrat,rep,1969-10-01,CA,20.0,Gen X
148,0,Jimmy Gomez,M,Democrat,rep,1974-11-25,CA,34.0,Gen X
140,0,Jim Costa,M,Democrat,rep,1952-04-13,CA,16.0,Boomers
101,0,Jim Cooper,M,Democrat,rep,1954-06-19,TN,5.0,Boomers
50,0,"Jesús G. ""Chuy"" García",M,Democrat,rep,1956-04-12,IL,4.0,Boomers
156,0,Jerry Moran,M,Republican,sen,1954-05-29,KS,,Boomers
113,0,Jerrold Nadler,M,Democrat,rep,1947-06-13,NY,10.0,Boomers
120,0,Jenniffer González-Colón,F,Republican,rep,1976-08-05,PR,0.0,Gen X
150,0,Jennifer Wexton,F,Democrat,rep,1968-05-27,VA,10.0,Gen X
163,0,Jason Crow,M,Democrat,rep,1979-03-15,CO,6.0,Gen X
179,0,Jared Huffman,M,Democrat,rep,1964-02-18,CA,2.0,Boomers
94,0,Jared F. Golden,M,Democrat,rep,1982-07-25,ME,2.0,Millennial
84,0,Janice D. Schakowsky,F,Democrat,rep,1944-05-26,IL,9.0,Boomers
53,0,Jamie Raskin,M,Democrat,rep,1962-12-13,MD,8.0,Boomers
65,0,Zoe Lofgren,F,Democrat,rep,1947-12-21,CA,19.0,Boomers
