full_name,pct_true,count_all,gender,party,type,birthday,state,district,generation
Anthony Gonzalez,0.03,149,M,Republican,rep,1984-09-19,OH,16,Millennial
Elise M. Stefanik,0.03,73,F,Republican,rep,1984-07-02,NY,21,Millennial
Trey Hollingsworth,0.03,115,M,Republican,rep,1983-09-12,IN,9,Millennial
Joe Cunningham,0.03,159,M,Democrat,rep,1982-05-26,SC,1,Millennial
Bryan Steil,0.03,138,M,Republican,rep,1981-03-30,WI,1,Millennial
Sharice Davids,0.03,132,F,Democrat,rep,1980-05-22,KS,3,Millennial
Jason Crow,0.03,163,M,Democrat,rep,1979-03-15,CO,6,Gen X
Josh Gottheimer,0.03,109,M,Democrat,rep,1975-03-08,NJ,5,Gen X
Russ Fulcher,0.03,120,M,Republican,rep,1973-07-19,ID,1,Gen X
Richard Hudson,0.03,110,M,Republican,rep,1971-11-04,NC,8,Gen X
Greg Stanton,0.03,124,M,Democrat,rep,1970-03-08,AZ,9,Gen X
Kim Schrier,0.03,111,F,Democrat,rep,1968-08-23,WA,8,Gen X
Susie Lee,0.03,159,F,Democrat,rep,1966-11-07,NV,3,Gen X
David Kustoff,0.03,195,M,Republican,rep,1966-10-08,TN,8,Gen X
Daniel Lipinski,0.03,170,M,Democrat,rep,1966-07-15,IL,3,Gen X
Ami Bera,0.03,103,M,Democrat,rep,1965-03-02,CA,7,Gen X
Lloyd Smucker,0.03,146,M,Republican,rep,1964-01-23,PA,11,Boomers
Don Bacon,0.03,125,M,Republican,rep,1963-08-16,NE,2,Boomers
Frank D. Lucas,0.03,155,M,Republican,rep,1960-01-06,OK,3,Boomers
Glenn Thompson,0.03,157,M,Republican,rep,1959-07-27,PA,15,Boomers
Mark E. Amodei,0.03,195,M,Republican,rep,1958-06-12,NV,2,Boomers
Lisa Murkowski,0.03,104,F,Republican,sen,1957-05-22,AK,,Boomers
John Hoeven,0.03,144,M,Republican,sen,1957-03-13,ND,,Boomers
Ron Estes,0.03,138,M,Republican,rep,1956-07-19,KS,4,Boomers
Tom McClintock,0.03,181,M,Republican,rep,1956-07-10,CA,4,Boomers
Richard Burr,0.03,120,M,Republican,sen,1955-11-30,NC,,Boomers
Stephen F. Lynch,0.03,101,M,Democrat,rep,1955-03-31,MA,8,Boomers
"Henry C. ""Hank"" Johnson, Jr.",0.03,158,M,Democrat,rep,1954-10-02,GA,4,Boomers
Michael F. Doyle,0.03,143,M,Democrat,rep,1953-08-05,PA,18,Boomers
Ken Calvert,0.03,124,M,Republican,rep,1953-06-08,CA,42,Boomers
Jefferson Van Drew,0.03,159,M,Republican,rep,1953-02-23,NJ,2,Boomers
Gwen Moore,0.03,139,F,Democrat,rep,1951-04-18,WI,4,Boomers
Tim Walberg,0.03,91,M,Republican,rep,1951-04-12,MI,7,Boomers
Albio Sires,0.03,102,M,Democrat,rep,1951-01-26,NJ,8,Boomers
Michael K. Simpson,0.03,125,M,Republican,rep,1950-09-08,ID,2,Boomers
Dina Titus,0.03,157,F,Democrat,rep,1950-05-23,NV,1,Boomers
Richard E. Neal,0.03,110,M,Democrat,rep,1949-02-14,MA,1,Boomers
John B. Larson,0.03,140,M,Democrat,rep,1948-07-22,CT,1,Boomers
Zoe Lofgren,0.03,65,F,Democrat,rep,1947-12-21,CA,19,Boomers
G. K. Butterfield,0.03,91,M,Democrat,rep,1947-04-27,NC,1,Boomers
"Sanford D. Bishop, Jr.",0.03,183,M,Democrat,rep,1947-02-04,GA,2,Boomers
Alma S. Adams,0.03,113,F,Democrat,rep,1946-05-27,NC,12,Boomers
José E. Serrano,0.03,132,M,Democrat,rep,1943-10-24,NY,15,Silent
John R. Carter,0.03,77,M,Republican,rep,1941-11-06,TX,31,Silent
Lucille Roybal-Allard,0.03,118,F,Democrat,rep,1941-06-12,CA,40,Silent
David E. Price,0.03,93,M,Democrat,rep,1940-08-17,NC,4,Silent
Richard C. Shelby,0.03,139,M,Republican,sen,1934-05-06,AL,,Silent
Don Young,0.03,94,M,Republican,rep,1933-06-09,AK,0,
Conor Lamb,0.02,196,M,Democrat,rep,1984-06-27,PA,17,Millennial
Haley M. Stevens,0.02,166,F,Democrat,rep,1983-06-24,MI,11,Millennial
Jaime Herrera Beutler,0.02,152,F,Republican,rep,1978-11-03,WA,3,Gen X
Mike Levin,0.02,135,M,Democrat,rep,1978-10-28,CA,49,Gen X
Seth Moulton,0.02,155,M,Democrat,rep,1978-10-24,MA,6,Gen X
Stephanie N. Murphy,0.02,61,F,Democrat,rep,1978-09-16,FL,7,Gen X
Steve Watkins,0.02,179,M,Republican,rep,1976-09-18,KS,2,Gen X
Rashida Tlaib,0.02,133,F,Democrat,rep,1976-07-24,MI,13,Gen X
Cedric L. Richmond,0.02,59,M,Democrat,rep,1973-09-13,LA,2,Gen X
Steven Horsford,0.02,128,M,Democrat,rep,1973-04-29,NV,4,Gen X
Raul Ruiz,0.02,175,M,Democrat,rep,1972-08-25,CA,36,Gen X
Ben Cline,0.02,167,M,Republican,rep,1972-02-29,VA,6,Gen X
Rob Woodall,0.02,160,M,Republican,rep,1970-02-11,GA,7,Gen X
Rodney Davis,0.02,120,M,Republican,rep,1970-01-05,IL,13,Gen X
Jimmy Panetta,0.02,123,M,Democrat,rep,1969-10-01,CA,20,Gen X
Dean Phillips,0.02,124,M,Democrat,rep,1969-01-20,MN,3,Gen X
Chrissy Houlahan,0.02,133,F,Democrat,rep,1967-06-05,PA,6,Gen X
Tom Malinowski,0.02,134,M,Democrat,rep,1965-09-23,NJ,7,Gen X
Tim Scott,0.02,57,M,Republican,sen,1965-09-19,SC,,Gen X
Kathleen M. Rice,0.02,169,F,Democrat,rep,1965-02-15,NY,4,Gen X
Yvette D. Clarke,0.02,132,F,Democrat,rep,1964-11-21,NY,9,Boomers
Salud O. Carbajal,0.02,104,M,Democrat,rep,1964-11-18,CA,24,Boomers
Dan Sullivan,0.02,90,M,Republican,sen,1964-11-13,AK,,Boomers
James R. Langevin,0.02,183,M,Democrat,rep,1964-04-22,RI,2,Boomers
TJ Cox,0.02,174,M,Democrat,rep,1963-07-18,CA,21,Boomers
John P. Sarbanes,0.02,115,M,Democrat,rep,1962-05-22,MD,3,Boomers
David Schweikert,0.02,118,M,Republican,rep,1962-03-03,AZ,6,Boomers
Suzan K. DelBene,0.02,183,F,Democrat,rep,1962-02-17,WA,1,Boomers
John R. Moolenaar,0.02,127,M,Republican,rep,1961-05-08,MI,4,Boomers
Susan W. Brooks,0.02,123,F,Republican,rep,1960-08-25,IN,5,Boomers
Michael R. Turner,0.02,99,M,Republican,rep,1960-01-11,OH,10,Boomers
Cindy Hyde-Smith,0.02,178,F,Republican,sen,1959-05-10,MS,,Boomers
Donald Norcross,0.02,174,M,Democrat,rep,1958-12-13,NJ,1,Boomers
Gary C. Peters,0.02,178,M,Democrat,sen,1958-12-01,MI,,Boomers
Debbie Lesko,0.02,134,F,Republican,rep,1958-11-14,AZ,8,Boomers
Scott H. Peters,0.02,144,M,Democrat,rep,1958-06-17,CA,52,Boomers
Margaret Wood Hassan,0.02,177,F,Democrat,sen,1958-02-27,NH,,Boomers
John Shimkus,0.02,133,M,Republican,rep,1958-02-21,IL,15,Boomers
Susan Wild,0.02,127,F,Democrat,rep,1957-06-07,PA,7,Boomers
David P. Joyce,0.02,111,M,Republican,rep,1957-03-17,OH,14,Boomers
Ann M. Kuster,0.02,174,F,Democrat,rep,1956-09-05,NH,2,Boomers
Chellie Pingree,0.02,118,F,Democrat,rep,1955-04-02,ME,1,Boomers
Suzanne Bonamici,0.02,83,F,Democrat,rep,1954-10-14,OR,1,Boomers
Adriano Espaillat,0.02,146,M,Democrat,rep,1954-09-27,NY,13,Boomers
Betty McCollum,0.02,140,F,Democrat,rep,1954-07-12,MN,4,Boomers
Doug Jones,0.02,168,M,Democrat,sen,1954-05-04,AL,,Boomers
Louie Gohmert,0.02,126,M,Republican,rep,1953-08-18,TX,1,Boomers
Joe Courtney,0.02,156,M,Democrat,rep,1953-04-06,CT,2,Boomers
Julia Brownley,0.02,103,F,Democrat,rep,1952-08-28,CA,26,Boomers
Jim Costa,0.02,140,M,Democrat,rep,1952-04-13,CA,16,Boomers
Kurt Schrader,0.02,122,M,Democrat,rep,1951-10-19,OR,5,Boomers
Deb Fischer,0.02,148,F,Republican,sen,1951-03-01,NE,,Boomers
Kenny Marchant,0.02,166,M,Republican,rep,1951-02-23,TX,24,Boomers
Sylvia R. Garcia,0.02,115,F,Democrat,rep,1950-09-06,TX,29,Boomers
Joyce Beatty,0.02,154,F,Democrat,rep,1950-03-12,OH,3,Boomers
Peter J. Visclosky,0.02,165,M,Democrat,rep,1949-08-13,IN,1,Boomers
Tom Cole,0.02,82,M,Republican,rep,1949-04-28,OK,4,Boomers
Kay Granger,0.02,127,F,Republican,rep,1943-01-18,TX,12,Silent
Mitch McConnell,0.02,120,M,Republican,sen,1942-02-20,KY,,Silent
Lauren Underwood,0.01,115,F,Democrat,rep,1986-10-04,IL,14,Millennial
Xochitl Torres Small,0.01,170,F,Democrat,rep,1984-11-15,NM,2,Millennial
Joe Neguse,0.01,116,M,Democrat,rep,1984-05-13,CO,2,Millennial
Chris Pappas,0.01,152,M,Democrat,rep,1980-06-04,NH,1,Millennial
Dusty Johnson,0.01,138,M,Republican,rep,1976-09-30,SD,0,Gen X
Kyrsten Sinema,0.01,184,F,Democrat,sen,1976-07-12,AZ,,Gen X
Lizzie Fletcher,0.01,157,F,Democrat,rep,1975-02-13,TX,7,Gen X
Ben McAdams,0.01,175,M,Democrat,rep,1974-12-05,UT,4,Gen X
Derek Kilmer,0.01,169,M,Democrat,rep,1974-01-01,WA,6,Gen X
Devin Nunes,0.01,191,M,Republican,rep,1973-10-01,CA,22,Gen X
Van Taylor,0.01,167,M,Republican,rep,1972-08-01,TX,3,Gen X
Garret Graves,0.01,142,M,Republican,rep,1972-01-31,LA,6,Gen X
"Gilbert Ray Cisneros, Jr.",0.01,141,M,Democrat,rep,1971-02-12,CA,39,Gen X
Jennifer Wexton,0.01,150,F,Democrat,rep,1968-05-27,VA,10,Gen X
Bruce Westerman,0.01,84,M,Republican,rep,1967-11-18,AR,4,Gen X
Vicente Gonzalez,0.01,134,M,Democrat,rep,1967-09-04,TX,15,Gen X
Kathy Castor,0.01,121,F,Democrat,rep,1966-08-20,FL,14,Gen X
James A. Himes,0.01,87,M,Democrat,rep,1966-07-05,CT,4,Gen X
Rick Larsen,0.01,78,M,Democrat,rep,1965-06-15,WA,2,Gen X
Cynthia Axne,0.01,176,F,Democrat,rep,1965-04-20,IA,3,Gen X
Steve Stivers,0.01,161,M,Republican,rep,1965-03-24,OH,15,Gen X
Terri A. Sewell,0.01,169,F,Democrat,rep,1965-01-01,AL,7,Gen X
Jackie Walorski,0.01,107,F,Republican,rep,1963-08-17,IN,2,Boomers
Filemon Vela,0.01,159,M,Democrat,rep,1963-02-13,TX,34,Boomers
Gus M. Bilirakis,0.01,144,M,Republican,rep,1963-02-08,FL,12,Boomers
Jim Hagedorn,0.01,132,M,Republican,rep,1962-08-04,MN,1,Boomers
Cheri Bustos,0.01,154,F,Democrat,rep,1961-10-17,IL,17,Boomers
Matt Cartwright,0.01,144,M,Democrat,rep,1961-05-01,PA,8,Boomers
Thom Tillis,0.01,149,M,Republican,sen,1960-08-30,NC,,Boomers
Lucy McBath,0.01,151,F,Democrat,rep,1960-06-01,GA,6,Boomers
Brian Higgins,0.01,148,M,Democrat,rep,1959-10-06,NY,26,Boomers
Robert J. Wittman,0.01,103,M,Republican,rep,1959-02-03,VA,1,Boomers
Joseph D. Morelle,0.01,160,M,Democrat,rep,1957-04-29,NY,25,Boomers
Jon Tester,0.01,155,M,Democrat,sen,1956-08-21,MT,,Boomers
David J. Trone,0.01,103,M,Democrat,rep,1955-09-21,MD,6,Boomers
Henry Cuellar,0.01,154,M,Democrat,rep,1955-09-19,TX,28,Boomers
Dan Newhouse,0.01,93,M,Republican,rep,1955-07-10,WA,4,Boomers
Brenda L. Lawrence,0.01,113,F,Democrat,rep,1954-10-18,MI,14,Boomers
Jerry Moran,0.01,156,M,Republican,sen,1954-05-29,KS,,Boomers
Shelley Moore Capito,0.01,124,F,Republican,sen,1953-11-26,WV,,Boomers
Ed Perlmutter,0.01,116,M,Democrat,rep,1953-05-01,CO,7,Boomers
Ed Case,0.01,139,M,Democrat,rep,1952-09-27,HI,1,Boomers
Denny Heck,0.01,132,M,Democrat,rep,1952-07-29,WA,10,Boomers
John Cornyn,0.01,103,M,Republican,sen,1952-02-02,TX,,Boomers
Roger F. Wicker,0.01,118,M,Republican,sen,1951-07-05,MS,,Boomers
Mike Thompson,0.01,166,M,Democrat,rep,1951-01-24,CA,5,Boomers
John Boozman,0.01,135,M,Republican,sen,1950-12-10,AR,,Boomers
"Al Lawson, Jr.",0.01,140,M,Democrat,rep,1948-09-23,FL,5,Boomers
Earl Blumenauer,0.01,91,M,Democrat,rep,1948-08-16,OR,3,Boomers
"Joe Manchin, III",0.01,163,M,Democrat,sen,1947-08-24,WV,,Boomers
David B. McKinley,0.01,69,M,Republican,rep,1947-03-28,WV,1,Boomers
Tom O’Halleran,0.01,171,M,Democrat,rep,1946-01-24,AZ,1,Boomers
David Scott,0.01,160,M,Democrat,rep,1945-06-27,GA,13,Boomers
James R. Baird,0.01,161,M,Republican,rep,1945-06-04,IN,4,Boomers
John Garamendi,0.01,87,M,Democrat,rep,1945-01-24,CA,3,Boomers
James E. Risch,0.01,111,M,Republican,sen,1943-05-03,ID,,Silent
Danny K. Davis,0.01,89,M,Democrat,rep,1941-09-06,IL,7,Silent
Eddie Bernice Johnson,0.01,139,F,Democrat,rep,1935-12-03,TX,30,Silent
Colin Z. Allred,0,161,M,Democrat,rep,1983-04-15,TX,32,Millennial
Antonio Delgado,0,166,M,Democrat,rep,1977-01-19,NY,19,Gen X
Jenniffer González-Colón,0,120,F,Republican,rep,1976-08-05,PR,0,Gen X
Martha Roby,0,116,F,Republican,rep,1976-07-27,AL,2,Gen X
Elaine G. Luria,0,172,F,Democrat,rep,1975-08-15,VA,2,Gen X
Christopher Murphy,0,200,M,Democrat,sen,1973-08-03,CT,,Gen X
Jahana Hayes,0,161,F,Democrat,rep,1973-03-08,CT,5,Gen X
Angie Craig,0,174,F,Democrat,rep,1972-02-14,MN,2,Gen X
Mikie Sherrill,0,130,F,Democrat,rep,1972-01-19,NJ,11,Gen X
Trent Kelly,0,69,M,Republican,rep,1966-03-01,MS,1,Gen X
John Katko,0,132,M,Republican,rep,1962-11-09,NY,24,Boomers
Thomas R. Suozzi,0,105,M,Democrat,rep,1962-08-31,NY,3,Boomers
Tom Emmer,0,138,M,Republican,rep,1961-03-03,MN,6,Boomers
Roger W. Marshall,0,0,M,Republican,rep,1960-08-09,KS,1,Boomers
John R. Curtis,0,71,M,Republican,rep,1960-05-10,UT,3,Boomers
"Donald M. Payne, Jr.",0,177,M,Democrat,rep,1958-12-17,NJ,10,Boomers
Charlie Crist,0,160,M,Democrat,rep,1956-07-24,FL,13,Boomers
Gregorio Kilili Camacho Sablan,0,110,M,Democrat,rep,1955-01-19,MP,0,Boomers
Dwight Evans,0,70,M,Democrat,rep,1954-05-16,PA,3,Boomers
Steve Chabot,0,111,M,Republican,rep,1953-01-22,OH,1,Boomers
Rob Bishop,0,0,M,Republican,rep,1951-07-13,UT,1,Boomers
Mike Crapo,0,74,M,Republican,sen,1951-05-20,ID,,Boomers
Aumua Amata Coleman Radewagen,0,189,F,Republican,rep,1947-12-29,AS,0,Boomers
Bill Posey,0,184,M,Republican,rep,1947-12-18,FL,8,Boomers
Pat Roberts,0,115,M,Republican,sen,1936-04-20,KS,,Silent
James M. Inhofe,0,82,M,Republican,sen,1934-11-17,OK,,Silent
